+-----------------------------+----------+-----------------------+---------------------------------------+-----------------------------------+----------------------------------+--------------------------------------+-----------------------------+
| ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ              | ΕΤΟΣ     | ΚΩΔΙΚΟΣ_ΚΕΝ           | ΑΣΦΑΛΙΣΤΙΚΟΣ_ΦΟΡΕΑΣ                   | ΑΡΙΘΜΟΣ_ΝΟΣΗΛΕΙΩΝ                 | ΒΑΣΙΚΟ_ΚΟΣΤΟΣ_ΚΕΝ                | ΠΡΟΣΘΕΤΗ_ΧΡΕΩΣΗ_ΜΔΝ                  | ΣΥΝΟΛΙΚΑ_ΕΣΟΔΑ              |
+-----------------------------+----------+-----------------------+---------------------------------------+-----------------------------------+----------------------------------+--------------------------------------+-----------------------------+
| Παιδιατρική                 |     2026 | Τ21Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 5 |                        207895.00 |                             13100.24 |                   220995.24 |
| ΜΕΘ                         |     2026 | Ε10Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 2 |                        188018.00 |                             17409.08 |                   205427.08 |
| ΜΕΘ                         |     2026 | Ε13Α                  | NN HELLAS                             |                                 5 |                        185315.00 |                              9564.64 |                   194879.64 |
| Παιδιατρική                 |     2026 | Τ21Α                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 4 |                        166316.00 |                              6834.91 |                   173150.91 |
| Παιδιατρική                 |     2026 | Τ22Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 5 |                        153625.00 |                              8508.46 |                   162133.46 |
| ΜΕΘ                         |     2026 | Ε03Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 3 |                        151137.00 |                              8636.40 |                   159773.40 |
| Καρδιολογία                 |     2026 | Κ01Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 7 |                        113505.00 |                             40537.50 |                   154042.50 |
| ΜΕΘ                         |     2026 | Ε13Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 3 |                        111189.00 |                             17933.71 |                   129122.71 |
| ΜΕΘ                         |     2026 | Ε13Α                  | ΕΟΠΥΥ                                 |                                 3 |                        111189.00 |                              8369.06 |                   119558.06 |
| Παιδιατρική                 |     2026 | Τ02Α                  | ΕΟΠΥΥ                                 |                                 5 |                        101395.00 |                             15870.53 |                   117265.53 |
| Χειρουργική                 |     2026 | Ζ01Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 3 |                        108204.00 |                              8542.42 |                   116746.42 |
| Χειρουργική                 |     2026 | Ε03Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 2 |                        100758.00 |                             10075.80 |                   110833.80 |
| Χειρουργική                 |     2026 | Ε10Α                  | ΕΟΠΥΥ                                 |                                 1 |                         94009.00 |                             13927.26 |                   107936.26 |
| Χειρουργική                 |     2026 | Ε10Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 1 |                         94009.00 |                              6963.63 |                   100972.63 |
| Χειρουργική                 |     2026 | Ε04Α                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 3 |                         90045.00 |                             10505.25 |                   100550.25 |
| ΜΕΘ                         |     2026 | Ε10Α                  | INTERAMERICAN                         |                                 1 |                         94009.00 |                              5222.72 |                    99231.72 |
| ΜΕΘ                         |     2026 | Ε10Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 1 |                         94009.00 |                              5222.72 |                    99231.72 |
| Χειρουργική                 |     2026 | Ε10Α                  | GENERALI                              |                                 1 |                         94009.00 |                              3481.81 |                    97490.81 |
| ΜΕΘ                         |     2026 | Ε10Α                  | GENERALI                              |                                 1 |                         94009.00 |                              1740.91 |                    95749.91 |
| Καρδιολογία                 |     2026 | Κ17Χ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 5 |                         13085.00 |                             81127.00 |                    94212.00 |
| ΜΕΘ                         |     2026 | Ε10Α                  | EUROLIFE FFH                          |                                 1 |                         94009.00 |                                 0.00 |                    94009.00 |
| Χειρουργική                 |     2026 | Ε10Α                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 1 |                         94009.00 |                                 0.00 |                    94009.00 |
| Παιδιατρική                 |     2026 | Τ03Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 5 |                         84230.00 |                              8773.97 |                    93003.97 |
| Παιδιατρική                 |     2026 | Τ02Α                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 4 |                         81116.00 |                             11462.05 |                    92578.05 |
| Παιδιατρική                 |     2026 | Τ21Α                  | INTERAMERICAN                         |                                 2 |                         83158.00 |                              4556.60 |                    87714.60 |
| Χειρουργική                 |     2026 | Ε06Μ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         79726.00 |                              5088.90 |                    84814.90 |
| Παιδιατρική                 |     2026 | Τ21Α                  | EUROLIFE FFH                          |                                 2 |                         83158.00 |                                 0.00 |                    83158.00 |
| Χειρουργική                 |     2026 | Ε06Μ                  | ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ                       |                                 2 |                         79726.00 |                              3392.60 |                    83118.60 |
| ΜΕΘ                         |     2026 | Ζ01Α                  | ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ                    |                                 2 |                         72136.00 |                              9491.58 |                    81627.58 |
| Χειρουργική                 |     2026 | Ε13Α                  | NN HELLAS                             |                                 2 |                         74126.00 |                              5977.90 |                    80103.90 |
| Χειρουργική                 |     2026 | Ε13Α                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 2 |                         74126.00 |                              3586.74 |                    77712.74 |
| ΜΕΘ                         |     2026 | Ε13Α                  | EUROLIFE FFH                          |                                 2 |                         74126.00 |                              3586.74 |                    77712.74 |
| ΜΕΘ                         |     2026 | Κ17Χ                  | ΑΝΑΣΦΑΛΙΣΤΟΣ                          |                                 5 |                         13085.00 |                             62808.00 |                    75893.00 |
