+----------------------------------+-------------------------------+----------------------+---------------------------+---------------------------------+----------------------------------------+-------------------------------------+
| ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ                   | ΚΩΔΙΚΟΣ_ΒΑΡΔΙΑΣ               | ΗΜΕΡΟΜΗΝΙΑ           | ΤΥΠΟΣ_ΒΑΡΔΙΑΣ             | ΤΥΠΟΣ_ΠΡΟΣΩΠΙΚΟΥ                | ΥΠΟΚΛΑΣΗ_ΠΡΟΣΩΠΙΚΟΥ                    | ΑΡΙΘΜΟΣ_ΠΡΟΣΩΠΙΚΟΥ                  |
+----------------------------------+-------------------------------+----------------------+---------------------------+---------------------------------+----------------------------------------+-------------------------------------+
| Γαστρεντερολογία                 | SHF_21370                     | 2026-04-20           | Πρωινή                    | Διοικητικός                     | Υπάλληλος Υποδοχής                     |                                   2 |
| Γαστρεντερολογία                 | SHF_21370                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Παιδίατρος                             |                                   2 |
| Γαστρεντερολογία                 | SHF_21370                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Χειρουργός                             |                                   1 |
| Γαστρεντερολογία                 | SHF_21371                     | 2026-04-20           | Απογευματινή              | Διοικητικός                     | Υπάλληλος Υποδοχής                     |                                   2 |
| Γαστρεντερολογία                 | SHF_21371                     | 2026-04-20           | Απογευματινή              | Ιατρός                          | Ενδοκρινολόγος                         |                                   1 |
| Γαστρεντερολογία                 | SHF_21371                     | 2026-04-20           | Απογευματινή              | Ιατρός                          | Επειγοντολόγος                         |                                   1 |
| Γαστρεντερολογία                 | SHF_21371                     | 2026-04-20           | Απογευματινή              | Ιατρός                          | Νευρολόγος                             |                                   1 |
| Γαστρεντερολογία                 | SHF_21372                     | 2026-04-20           | Νυχτερινή                 | Διοικητικός                     | Λογιστής                               |                                   1 |
| Γαστρεντερολογία                 | SHF_21372                     | 2026-04-20           | Νυχτερινή                 | Διοικητικός                     | Υπάλληλος Υποδοχής                     |                                   1 |
| Γαστρεντερολογία                 | SHF_21372                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Γυναικολόγος                           |                                   1 |
| Γαστρεντερολογία                 | SHF_21372                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Επειγοντολόγος                         |                                   1 |
| Γαστρεντερολογία                 | SHF_21372                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Παιδίατρος                             |                                   1 |
| Γυναικολογία                     | SHF_21349                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Νευρολόγος                             |                                   1 |
| Γυναικολογία                     | SHF_21349                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Πνευμονολόγος                          |                                   1 |
| Γυναικολογία                     | SHF_21349                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Ωτορινολαρυγγολόγος                    |                                   1 |
| Γυναικολογία                     | SHF_21349                     | 2026-04-20           | Πρωινή                    | Νοσηλευτής                      | Βοηθός Νοσηλευτή                       |                                   3 |
| Γυναικολογία                     | SHF_21349                     | 2026-04-20           | Πρωινή                    | Νοσηλευτής                      | Νοσηλευτής                             |                                   1 |
| Γυναικολογία                     | SHF_21350                     | 2026-04-20           | Απογευματινή              | Ιατρός                          | Επειγοντολόγος                         |                                   2 |
| Γυναικολογία                     | SHF_21350                     | 2026-04-20           | Απογευματινή              | Ιατρός                          | Παιδίατρος                             |                                   1 |
| Γυναικολογία                     | SHF_21350                     | 2026-04-20           | Απογευματινή              | Νοσηλευτής                      | Βοηθός Νοσηλευτή                       |                                   1 |
| Γυναικολογία                     | SHF_21350                     | 2026-04-20           | Απογευματινή              | Νοσηλευτής                      | Νοσηλευτής                             |                                   2 |
| Γυναικολογία                     | SHF_21351                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Ενδοκρινολόγος                         |                                   1 |
| Γυναικολογία                     | SHF_21351                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Νευρολόγος                             |                                   1 |
| Γυναικολογία                     | SHF_21351                     | 2026-04-20           | Νυχτερινή                 | Ιατρός                          | Πνευμονολόγος                          |                                   1 |
| Γυναικολογία                     | SHF_21351                     | 2026-04-20           | Νυχτερινή                 | Νοσηλευτής                      | Βοηθός Νοσηλευτή                       |                                   3 |
| Γυναικολογία                     | SHF_21351                     | 2026-04-20           | Νυχτερινή                 | Νοσηλευτής                      | Νοσηλευτής                             |                                   1 |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Διοικητικός                     | Γραμματέας                             |                                   1 |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Διοικητικός                     | Υπάλληλος Υποδοχής                     |                                   1 |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Γυναικολόγος                           |                                   1 |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Επειγοντολόγος                         |                                   1 |
| Ενδοκρινολογία                   | SHF_21373                     | 2026-04-20           | Πρωινή                    | Ιατρός                          | Χειρουργός                             |                                   1 |
