+--------------------------+------------+------------+-----------------------------------+
| ΚΑΤΗΓΟΡΙΑ_ICD10          | ΕΤΟΣ_1     | ΕΤΟΣ_2     | ΑΡΙΘΜΟΣ_ΕΙΣΑΓΩΓΩΝ                 |
+--------------------------+------------+------------+-----------------------------------+
| A16                      |       2025 |       2026 |                                 8 |
| A20                      |       2025 |       2026 |                                10 |
| A23                      |       2025 |       2026 |                                 6 |
| A28                      |       2024 |       2025 |                                 6 |
| A31                      |       2024 |       2025 |                                 5 |
| A36                      |       2025 |       2026 |                                 5 |
| A40                      |       2024 |       2025 |                                 8 |
| A51                      |       2025 |       2026 |                                 6 |
| A54                      |       2024 |       2025 |                                10 |
| A83                      |       2024 |       2025 |                                10 |
| B21                      |       2024 |       2025 |                                 6 |
| B26                      |       2024 |       2025 |                                 5 |
| B26                      |       2025 |       2026 |                                 5 |
| B30                      |       2024 |       2025 |                                 5 |
| B41                      |       2024 |       2025 |                                 5 |
| B41                      |       2025 |       2026 |                                 5 |
| B55                      |       2024 |       2025 |                                 5 |
| B58                      |       2024 |       2025 |                                 5 |
| B58                      |       2025 |       2026 |                                 5 |
| B81                      |       2024 |       2025 |                                 7 |
| C00                      |       2024 |       2025 |                                 8 |
| C04                      |       2025 |       2026 |                                 7 |
| C11                      |       2024 |       2025 |                                 7 |
| C11                      |       2025 |       2026 |                                 7 |
| C18                      |       2025 |       2026 |                                10 |
| C31                      |       2025 |       2026 |                                11 |
| C41                      |       2024 |       2025 |                                10 |
| C49                      |       2025 |       2026 |                                 9 |
| C69                      |       2025 |       2026 |                                 8 |
| C94                      |       2025 |       2026 |                                 6 |
| C95                      |       2025 |       2026 |                                 6 |
| C96                      |       2024 |       2025 |                                 5 |
| C96                      |       2025 |       2026 |                                 5 |
| D07                      |       2024 |       2025 |                                 7 |
| D07                      |       2025 |       2026 |                                 7 |
| D11                      |       2024 |       2025 |                                 5 |
| D16                      |       2025 |       2026 |                                 5 |
| D21                      |       2024 |       2025 |                                 8 |
| D25                      |       2024 |       2025 |                                 5 |
| D30                      |       2024 |       2025 |                                 6 |
| D33                      |       2024 |       2025 |                                 7 |
| D38                      |       2024 |       2025 |                                 8 |
| D38                      |       2025 |       2026 |                                 8 |
| D40                      |       2024 |       2025 |                                 5 |
| D44                      |       2024 |       2025 |                                 9 |
| D52                      |       2024 |       2025 |                                 6 |
| D59                      |       2024 |       2025 |                                 8 |
| D73                      |       2024 |       2025 |                                 6 |
| D81                      |       2024 |       2025 |                                 7 |
| E00                      |       2024 |       2025 |                                 7 |
| E03                      |       2024 |       2025 |                                11 |
| E31                      |       2024 |       2025 |                                 6 |
| E34                      |       2024 |       2025 |                                 9 |
| E51                      |       2024 |       2025 |                                 5 |
| E76                      |       2025 |       2026 |                                 6 |
| E78                      |       2025 |       2026 |                                10 |
| E85                      |       2024 |       2025 |                                 8 |
| F07                      |       2025 |       2026 |                                 6 |
| F32                      |       2024 |       2025 |                                 9 |
| F41                      |       2025 |       2026 |                                 5 |
| F50                      |       2024 |       2025 |                                11 |
| F52                      |       2024 |       2025 |                                 7 |
| F81                      |       2024 |       2025 |                                 5 |
| F98                      |       2024 |       2025 |                                 9 |
| G24                      |       2025 |       2026 |                                 7 |
| G43                      |       2025 |       2026 |                                 5 |
| G45                      |       2024 |       2025 |                                 7 |
| G50                      |       2024 |       2025 |                                 6 |
| G51                      |       2024 |       2025 |                                 5 |
| G73                      |       2025 |       2026 |                                 7 |
| G93                      |       2025 |       2026 |                                10 |
| G96                      |       2025 |       2026 |                                 5 |
| H01                      |       2024 |       2025 |                                 7 |
| H16                      |       2024 |       2025 |                                 6 |
| H18                      |       2025 |       2026 |                                10 |
| H19                      |       2025 |       2026 |                                 5 |
| H26                      |       2024 |       2025 |                                 8 |
| H31                      |       2025 |       2026 |                                 7 |
| H51                      |       2024 |       2025 |                                 6 |
| H72                      |       2024 |       2025 |                                 5 |
| H72                      |       2025 |       2026 |                                 5 |
| H74                      |       2024 |       2025 |                                 7 |
| I07                      |       2024 |       2025 |                                 6 |
| I37                      |       2025 |       2026 |                                 5 |
| I51                      |       2025 |       2026 |                                11 |
| I62                      |       2024 |       2025 |                                 5 |
| I65                      |       2024 |       2025 |                                 9 |
| I67                      |       2024 |       2025 |                                10 |
| I72                      |       2025 |       2026 |                                 7 |
| I86                      |       2025 |       2026 |                                 9 |
| J12                      |       2024 |       2025 |                                 5 |
| J15                      |       2024 |       2025 |                                11 |
| J15                      |       2025 |       2026 |                                11 |
| J33                      |       2025 |       2026 |                                 6 |
| J34                      |       2025 |       2026 |                                 5 |
| J35                      |       2024 |       2025 |                                 7 |
| J41                      |       2024 |       2025 |                                 6 |
| J43                      |       2024 |       2025 |                                 6 |
| J43                      |       2025 |       2026 |                                 6 |
| J45                      |       2024 |       2025 |                                 5 |
| J95                      |       2024 |       2025 |                                11 |
| K12                      |       2024 |       2025 |                                 6 |
| K56                      |       2024 |       2025 |                                 7 |
| K57                      |       2025 |       2026 |                                 7 |
| K59                      |       2025 |       2026 |                                 5 |
| K66                      |       2025 |       2026 |                                 5 |
| K71                      |       2025 |       2026 |                                 6 |
| K74                      |       2025 |       2026 |                                 5 |
| K80                      |       2025 |       2026 |                                11 |
| K85                      |       2025 |       2026 |                                 5 |
| L04                      |       2024 |       2025 |                                 8 |
| L10                      |       2024 |       2025 |                                 6 |
| L10                      |       2025 |       2026 |                                 6 |
| L24                      |       2024 |       2025 |                                 6 |
| L44                      |       2025 |       2026 |                                 6 |
| L50                      |       2025 |       2026 |                                 5 |
| L54                      |       2024 |       2025 |                                 6 |
| L64                      |       2024 |       2025 |                                 6 |
| M05                      |       2024 |       2025 |                                 6 |
| M06                      |       2025 |       2026 |                                10 |
| M16                      |       2024 |       2025 |                                 8 |
| M21                      |       2024 |       2025 |                                 8 |
| M30                      |       2025 |       2026 |                                 7 |
| M33                      |       2024 |       2025 |                                 7 |
| M34                      |       2025 |       2026 |                                 6 |
| M54                      |       2025 |       2026 |                                 8 |
| M76                      |       2024 |       2025 |                                10 |
| M79                      |       2024 |       2025 |                                13 |
| M81                      |       2024 |       2025 |                                 9 |
| M92                      |       2024 |       2025 |                                15 |
| N30                      |       2025 |       2026 |                                 8 |
| N31                      |       2024 |       2025 |                                 9 |
| N37                      |       2024 |       2025 |                                 5 |
| N42                      |       2025 |       2026 |                                 7 |
| N74                      |       2024 |       2025 |                                 6 |
| N81                      |       2024 |       2025 |                                 7 |
| N82                      |       2024 |       2025 |                                 7 |
| N83                      |       2024 |       2025 |                                11 |
| N83                      |       2025 |       2026 |                                11 |
| N88                      |       2025 |       2026 |                                 5 |
| N95                      |       2024 |       2025 |                                 5 |
| O02                      |       2025 |       2026 |                                 5 |
| O12                      |       2024 |       2025 |                                 5 |
| O30                      |       2025 |       2026 |                                 5 |
| O32                      |       2024 |       2025 |                                13 |
| O65                      |       2024 |       2025 |                                 5 |
| O71                      |       2024 |       2025 |                                 8 |
| O81                      |       2025 |       2026 |                                 6 |
| O87                      |       2024 |       2025 |                                 9 |
| P00                      |       2025 |       2026 |                                 8 |
