ΜΟΝΑΔΙΚΟΣ_ΑΡΙΘΜΟΣ_ΚΛΙΝΗΣ,ΤΥΠΟΣ,ΚΑΤΑΣΤΑΣΗ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
1,Μονόκλινο,Κατειλημμένη,Καρδιολογία
2,Δίκλινο,Υπό Συντήρηση,Καρδιολογία
3,ΜΕΘ,Υπό Συντήρηση,Καρδιολογία
4,ΜΕΘ,Υπό Συντήρηση,Καρδιολογία
5,Πολύκλινο,Υπό Συντήρηση,Καρδιολογία
6,ΜΕΘ,Κατειλημμένη,Καρδιολογία
7,ΜΕΘ,Υπό Συντήρηση,Καρδιολογία
8,Πολύκλινο,Διαθέσιμη,Καρδιολογία
9,Μονόκλινο,Διαθέσιμη,Καρδιολογία
10,Πολύκλινο,Υπό Συντήρηση,Καρδιολογία
11,ΜΕΘ,Κατειλημμένη,Καρδιολογία
12,Δίκλινο,Υπό Συντήρηση,Καρδιολογία
13,Δίκλινο,Κατειλημμένη,Καρδιολογία
14,Μονόκλινο,Κατειλημμένη,Καρδιολογία
15,Δίκλινο,Διαθέσιμη,Καρδιολογία
16,Δίκλινο,Κατειλημμένη,Καρδιολογία
17,ΜΕΘ,Υπό Συντήρηση,Καρδιολογία
18,Δίκλινο,Διαθέσιμη,Καρδιολογία
19,Πολύκλινο,Κατειλημμένη,Καρδιολογία
20,Μονόκλινο,Κατειλημμένη,Καρδιολογία
21,Δίκλινο,Κατειλημμένη,Χειρουργική
22,ΜΕΘ,Κατειλημμένη,Χειρουργική
23,Πολύκλινο,Κατειλημμένη,Χειρουργική
24,Μονόκλινο,Διαθέσιμη,Χειρουργική
25,Δίκλινο,Υπό Συντήρηση,Χειρουργική
26,Πολύκλινο,Υπό Συντήρηση,Χειρουργική
27,ΜΕΘ,Διαθέσιμη,Χειρουργική
28,Μονόκλινο,Κατειλημμένη,Χειρουργική
29,Μονόκλινο,Υπό Συντήρηση,Χειρουργική
30,ΜΕΘ,Διαθέσιμη,Χειρουργική
31,Μονόκλινο,Υπό Συντήρηση,Χειρουργική
32,Πολύκλινο,Διαθέσιμη,Χειρουργική
33,Δίκλινο,Υπό Συντήρηση,Χειρουργική
34,Δίκλινο,Κατειλημμένη,Χειρουργική
35,Δίκλινο,Υπό Συντήρηση,Χειρουργική
36,ΜΕΘ,Κατειλημμένη,Χειρουργική
37,Μονόκλινο,Κατειλημμένη,Χειρουργική
38,Μονόκλινο,Διαθέσιμη,Χειρουργική
39,Δίκλινο,Κατειλημμένη,Χειρουργική
40,ΜΕΘ,Διαθέσιμη,Χειρουργική
41,ΜΕΘ,Διαθέσιμη,ΜΕΘ
42,Μονόκλινο,Κατειλημμένη,ΜΕΘ
43,ΜΕΘ,Διαθέσιμη,ΜΕΘ
44,ΜΕΘ,Υπό Συντήρηση,ΜΕΘ
45,ΜΕΘ,Κατειλημμένη,ΜΕΘ
46,Δίκλινο,Διαθέσιμη,ΜΕΘ
47,Δίκλινο,Διαθέσιμη,ΜΕΘ
48,Μονόκλινο,Κατειλημμένη,ΜΕΘ
49,Μονόκλινο,Κατειλημμένη,ΜΕΘ
50,Μονόκλινο,Κατειλημμένη,ΜΕΘ
51,Δίκλινο,Διαθέσιμη,ΜΕΘ
52,Μονόκλινο,Κατειλημμένη,ΜΕΘ
53,Δίκλινο,Διαθέσιμη,ΜΕΘ
54,Πολύκλινο,Υπό Συντήρηση,ΜΕΘ
55,Πολύκλινο,Κατειλημμένη,ΜΕΘ
56,Πολύκλινο,Διαθέσιμη,ΜΕΘ
57,Πολύκλινο,Υπό Συντήρηση,ΜΕΘ
58,Δίκλινο,Κατειλημμένη,ΜΕΘ
59,ΜΕΘ,Κατειλημμένη,ΜΕΘ
60,ΜΕΘ,Κατειλημμένη,ΜΕΘ
61,ΜΕΘ,Διαθέσιμη,Επείγοντα
62,Μονόκλινο,Υπό Συντήρηση,Επείγοντα
63,Μονόκλινο,Υπό Συντήρηση,Επείγοντα
64,Πολύκλινο,Κατειλημμένη,Επείγοντα
65,Πολύκλινο,Διαθέσιμη,Επείγοντα
66,Δίκλινο,Διαθέσιμη,Επείγοντα
67,ΜΕΘ,Υπό Συντήρηση,Επείγοντα
68,Μονόκλινο,Διαθέσιμη,Επείγοντα
69,Μονόκλινο,Κατειλημμένη,Επείγοντα
70,Μονόκλινο,Υπό Συντήρηση,Επείγοντα
71,Δίκλινο,Διαθέσιμη,Επείγοντα
72,Μονόκλινο,Υπό Συντήρηση,Επείγοντα
73,Πολύκλινο,Διαθέσιμη,Επείγοντα
74,Πολύκλινο,Διαθέσιμη,Επείγοντα
75,ΜΕΘ,Υπό Συντήρηση,Επείγοντα
76,Πολύκλινο,Κατειλημμένη,Επείγοντα
77,ΜΕΘ,Υπό Συντήρηση,Επείγοντα
78,Πολύκλινο,Υπό Συντήρηση,Επείγοντα
