ΚΩΔΙΚΟΣ_ΕΞΕΤΑΣΗΣ,ΤΥΠΟΣ,ΚΟΣΤΟΣ
EXM_00001,PCR COVID-19,229.83
EXM_00002,Ακτινογραφία Θώρακος,35.67
EXM_00003,Υπέρηχος Κοιλίας,195.91
EXM_00004,Ακτινογραφία Θώρακος,58.74
EXM_00005,Σάκχαρο Αίματος,188.26
EXM_00006,PCR COVID-19,200.6
EXM_00007,Μαγνητική Τομογραφία (MRI),217.59
EXM_00008,Κρεατινίνη,85.01
EXM_00009,Κρεατινίνη,169.06
EXM_00010,Ουρία,147.04
EXM_00011,Ουρία,198.59
EXM_00012,PCR COVID-19,237.08
EXM_00013,Χοληστερίνη,103.7
EXM_00014,Κρεατινίνη,44.84
EXM_00015,Μαγνητική Τομογραφία (MRI),99.2
EXM_00016,Γενική Αίματος,88.67
EXM_00017,PCR COVID-19,22.77
EXM_00018,Κρεατινίνη,205.75
EXM_00019,Ηλεκτροκαρδιογράφημα (ΗΚΓ),184.56
EXM_00020,Μαγνητική Τομογραφία (MRI),166.05
EXM_00021,Κρεατινίνη,125.86
EXM_00022,Κρεατινίνη,91.81
EXM_00023,Ηλεκτροκαρδιογράφημα (ΗΚΓ),88.64
EXM_00024,Γενική Αίματος,83.66
EXM_00025,Ηλεκτροκαρδιογράφημα (ΗΚΓ),140.81
EXM_00026,Χοληστερίνη,143.41
EXM_00027,Υπέρηχος Κοιλίας,86.74
EXM_00028,Υπέρηχος Κοιλίας,212.78
EXM_00029,Ακτινογραφία Θώρακος,32.47
EXM_00030,Χοληστερίνη,216.31
EXM_00031,Ουρία,133.3
EXM_00032,Ηλεκτροκαρδιογράφημα (ΗΚΓ),96.74
EXM_00033,Ακτινογραφία Θώρακος,30.71
EXM_00034,Χοληστερίνη,208.03
EXM_00035,Ηλεκτροκαρδιογράφημα (ΗΚΓ),62.64
EXM_00036,Σάκχαρο Αίματος,184.17
EXM_00037,Ακτινογραφία Θώρακος,113.13
EXM_00038,Χοληστερίνη,151.86
EXM_00039,Ουρία,182.0
EXM_00040,Γενική Αίματος,110.33
EXM_00041,Υπέρηχος Κοιλίας,60.67
EXM_00042,Χοληστερίνη,35.34
EXM_00043,Ουρία,182.01
EXM_00044,Σάκχαρο Αίματος,176.23
EXM_00045,Υπέρηχος Κοιλίας,79.79
EXM_00046,Ηλεκτροκαρδιογράφημα (ΗΚΓ),104.99
EXM_00047,Κρεατινίνη,211.36
EXM_00048,Σάκχαρο Αίματος,238.73
EXM_00049,Υπέρηχος Κοιλίας,213.58
EXM_00050,Ακτινογραφία Θώρακος,123.71
EXM_00051,Μαγνητική Τομογραφία (MRI),180.87
EXM_00052,Σάκχαρο Αίματος,33.99
EXM_00053,Ηλεκτροκαρδιογράφημα (ΗΚΓ),150.62
EXM_00054,Ακτινογραφία Θώρακος,158.5
EXM_00055,Υπέρηχος Κοιλίας,55.31
EXM_00056,Ηλεκτροκαρδιογράφημα (ΗΚΓ),60.95
EXM_00057,Υπέρηχος Κοιλίας,119.26
EXM_00058,Μαγνητική Τομογραφία (MRI),161.04
