ΚΩΔΙΚΟΣ_ΒΑΡΔΙΑΣ,ΤΥΠΟΣ,ΗΜΕΡΟΜΗΝΙΑ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
SHF_00001,Πρωινή,2025-01-01,Καρδιολογία
SHF_00002,Απογευματινή,2025-01-01,Καρδιολογία
SHF_00003,Νυχτερινή,2025-01-01,Καρδιολογία
SHF_00004,Πρωινή,2025-01-01,Χειρουργική
SHF_00005,Απογευματινή,2025-01-01,Χειρουργική
SHF_00006,Νυχτερινή,2025-01-01,Χειρουργική
SHF_00007,Πρωινή,2025-01-01,ΜΕΘ
SHF_00008,Απογευματινή,2025-01-01,ΜΕΘ
SHF_00009,Νυχτερινή,2025-01-01,ΜΕΘ
SHF_00010,Πρωινή,2025-01-01,Επείγοντα
SHF_00011,Απογευματινή,2025-01-01,Επείγοντα
SHF_00012,Νυχτερινή,2025-01-01,Επείγοντα
SHF_00013,Πρωινή,2025-01-01,Ορθοπεδική
SHF_00014,Απογευματινή,2025-01-01,Ορθοπεδική
SHF_00015,Νυχτερινή,2025-01-01,Ορθοπεδική
SHF_00016,Πρωινή,2025-01-01,Παιδιατρική
SHF_00017,Απογευματινή,2025-01-01,Παιδιατρική
SHF_00018,Νυχτερινή,2025-01-01,Παιδιατρική
SHF_00019,Πρωινή,2025-01-01,Γυναικολογία
SHF_00020,Απογευματινή,2025-01-01,Γυναικολογία
SHF_00021,Νυχτερινή,2025-01-01,Γυναικολογία
SHF_00022,Πρωινή,2025-01-01,Νευρολογία
SHF_00023,Απογευματινή,2025-01-01,Νευρολογία
SHF_00024,Νυχτερινή,2025-01-01,Νευρολογία
SHF_00025,Πρωινή,2025-01-01,Ογκολογία
SHF_00026,Απογευματινή,2025-01-01,Ογκολογία
SHF_00027,Νυχτερινή,2025-01-01,Ογκολογία
SHF_00028,Πρωινή,2025-01-01,Πνευμονολογία
SHF_00029,Απογευματινή,2025-01-01,Πνευμονολογία
SHF_00030,Νυχτερινή,2025-01-01,Πνευμονολογία
SHF_00031,Πρωινή,2025-01-01,Ουρολογία
SHF_00032,Απογευματινή,2025-01-01,Ουρολογία
SHF_00033,Νυχτερινή,2025-01-01,Ουρολογία
SHF_00034,Πρωινή,2025-01-01,Οφθαλμολογία
SHF_00035,Απογευματινή,2025-01-01,Οφθαλμολογία
SHF_00036,Νυχτερινή,2025-01-01,Οφθαλμολογία
SHF_00037,Πρωινή,2025-01-01,ΩΡΛ
SHF_00038,Απογευματινή,2025-01-01,ΩΡΛ
SHF_00039,Νυχτερινή,2025-01-01,ΩΡΛ
SHF_00040,Πρωινή,2025-01-01,Γαστρεντερολογία
SHF_00041,Απογευματινή,2025-01-01,Γαστρεντερολογία
SHF_00042,Νυχτερινή,2025-01-01,Γαστρεντερολογία
SHF_00043,Πρωινή,2025-01-01,Ενδοκρινολογία
SHF_00044,Απογευματινή,2025-01-01,Ενδοκρινολογία
SHF_00045,Νυχτερινή,2025-01-01,Ενδοκρινολογία
SHF_00046,Πρωινή,2025-01-02,Καρδιολογία
SHF_00047,Απογευματινή,2025-01-02,Καρδιολογία
SHF_00048,Νυχτερινή,2025-01-02,Καρδιολογία
SHF_00049,Πρωινή,2025-01-02,Χειρουργική
SHF_00050,Απογευματινή,2025-01-02,Χειρουργική
SHF_00051,Νυχτερινή,2025-01-02,Χειρουργική
SHF_00052,Πρωινή,2025-01-02,ΜΕΘ
SHF_00053,Απογευματινή,2025-01-02,ΜΕΘ
SHF_00054,Νυχτερινή,2025-01-02,ΜΕΘ
SHF_00055,Πρωινή,2025-01-02,Επείγοντα
SHF_00056,Απογευματινή,2025-01-02,Επείγοντα
SHF_00057,Νυχτερινή,2025-01-02,Επείγοντα
SHF_00058,Πρωινή,2025-01-02,Ορθοπεδική
SHF_00059,Απογευματινή,2025-01-02,Ορθοπεδική
SHF_00060,Νυχτερινή,2025-01-02,Ορθοπεδική
SHF_00061,Πρωινή,2025-01-02,Παιδιατρική
SHF_00062,Απογευματινή,2025-01-02,Παιδιατρική
SHF_00063,Νυχτερινή,2025-01-02,Παιδιατρική
SHF_00064,Πρωινή,2025-01-02,Γυναικολογία
SHF_00065,Απογευματινή,2025-01-02,Γυναικολογία
SHF_00066,Νυχτερινή,2025-01-02,Γυναικολογία
SHF_00067,Πρωινή,2025-01-02,Νευρολογία
SHF_00068,Απογευματινή,2025-01-02,Νευρολογία
SHF_00069,Νυχτερινή,2025-01-02,Νευρολογία
SHF_00070,Πρωινή,2025-01-02,Ογκολογία
SHF_00071,Απογευματινή,2025-01-02,Ογκολογία
SHF_00072,Νυχτερινή,2025-01-02,Ογκολογία
SHF_00073,Πρωινή,2025-01-02,Πνευμονολογία
SHF_00074,Απογευματινή,2025-01-02,Πνευμονολογία
SHF_00075,Νυχτερινή,2025-01-02,Πνευμονολογία
SHF_00076,Πρωινή,2025-01-02,Ουρολογία
SHF_00077,Απογευματινή,2025-01-02,Ουρολογία
SHF_00078,Νυχτερινή,2025-01-02,Ουρολογία
SHF_00079,Πρωινή,2025-01-02,Οφθαλμολογία
SHF_00080,Απογευματινή,2025-01-02,Οφθαλμολογία
SHF_00081,Νυχτερινή,2025-01-02,Οφθαλμολογία
