1;Ε01Α;Μεταμόσχευση ήπατος;28907;26
2;Ε03Α;Μεταμόσχευση  καρδιάς- πνευμόνων;50379;35
3;Ε04Α;Μεταμοσχεύσεις Πνευμόνων;30015;20
4;Ε05Α;Μεταμόσχευση Καρδιάς;34279;40
5;Ε06Μ;Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές;39863;47
6;Ε06Χα;Τραχειοστομία με  μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές;20597;25
7;Ε06Χβ;Μηχανική υποστήριξη αναπνοής > 95 ώρες  χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές;15548;16
8;Ε06Χγ;Τραχειοστομία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές;8261;15
9;Ε07Α;Αλλογενής μεταμόσχευση μυελού οστών;26508;34
10;Ε08Μ;Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;10017;24
11;Ε08Χ;Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;3683;10
12;Ε09Α;Μεταμόσχευση νεφρού+παγκρέατος;15346;16
13;Ε09Β;Μεταμόσχευση νεφρού χωρίς μεταμόσχευση παγκρέατος;9669;8
14;Ε09Γ;Μεταμόσχευση παγκρέατος;10706;15
15;Ε10Α;Εμφύτευση συσκευών κοιλιακής υποβοήθησης;94009;54
16;Ε11Μ;Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης με  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;10704;15
17;Ε11Χ;Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης  χωρίς  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;5302;6
18;Ε12Α;Εμφύτευση συσκευής νευροδιέγερσης;6414;3
19;Ε13Α;Εξωσωματική συσκευή οξυγόνωσης ECMO;37063;31
