+-------------------------------------+----------------------------------+---------------------------------------+-----------------------------------------------------+-------------------------------------+
| ΕΠΙΠΕΔΟ_ΕΠΕΙΓΟΝΤΟΣ                  | ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ                   | ΣΥΝΟΛΟ_ΠΕΡΙΣΤΑΤΙΚΩΝ                   | ΜΕΣΟΣ_ΧΡΟΝΟΣ_ΑΝΑΜΟΝΗΣ_ΛΕΠΤΑ                         | ΠΟΣΟΣΤΟ_ΠΑΡΑΠΟΜΠΩΝ                  |
+-------------------------------------+----------------------------------+---------------------------------------+-----------------------------------------------------+-------------------------------------+
|                                   1 | Χειρουργική                      |                                   102 |                                              300.51 |                               21.12 |
|                                   1 | ΜΕΘ                              |                                    68 |                                              238.31 |                               14.08 |
|                                   1 | Νευρολογία                       |                                    54 |                                              250.41 |                               11.18 |
|                                   1 | Ουρολογία                        |                                    41 |                                              305.85 |                                8.49 |
|                                   1 | Καρδιολογία                      |                                    30 |                                              278.07 |                                6.21 |
|                                   1 | Ορθοπεδική                       |                                    28 |                                              277.43 |                                5.80 |
|                                   1 | Γαστρεντερολογία                 |                                    24 |                                              438.33 |                                4.97 |
|                                   1 | Πνευμονολογία                    |                                    20 |                                              291.60 |                                4.14 |
|                                   1 | ΩΡΛ                              |                                    20 |                                              341.35 |                                4.14 |
|                                   1 | Ενδοκρινολογία                   |                                    19 |                                              210.95 |                                3.93 |
|                                   1 | Επείγοντα                        |                                    17 |                                              213.12 |                                3.52 |
|                                   1 | Οφθαλμολογία                     |                                    17 |                                              392.76 |                                3.52 |
|                                   1 | Γυναικολογία                     |                                    16 |                                              203.38 |                                3.31 |
|                                   1 | Παιδιατρική                      |                                    15 |                                              298.20 |                                3.11 |
|                                   1 | Ογκολογία                        |                                    12 |                                              235.92 |                                2.48 |
|                                   2 | Χειρουργική                      |                                   109 |                                              273.06 |                               22.11 |
|                                   2 | ΜΕΘ                              |                                    74 |                                              273.36 |                               15.01 |
|                                   2 | Ουρολογία                        |                                    40 |                                              341.45 |                                8.11 |
|                                   2 | Νευρολογία                       |                                    39 |                                              231.79 |                                7.91 |
|                                   2 | Ορθοπεδική                       |                                    27 |                                              416.78 |                                5.48 |
|                                   2 | Παιδιατρική                      |                                    26 |                                              113.96 |                                5.27 |
|                                   2 | Γυναικολογία                     |                                    25 |                                              297.16 |                                5.07 |
|                                   2 | Καρδιολογία                      |                                    25 |                                              184.08 |                                5.07 |
|                                   2 | Γαστρεντερολογία                 |                                    24 |                                              348.08 |                                4.87 |
|                                   2 | Οφθαλμολογία                     |                                    19 |                                              249.79 |                                3.85 |
|                                   2 | Ογκολογία                        |                                    19 |                                              273.89 |                                3.85 |
|                                   2 | Πνευμονολογία                    |                                    19 |                                              360.32 |                                3.85 |
|                                   2 | Ενδοκρινολογία                   |                                    18 |                                              315.83 |                                3.65 |
|                                   2 | Επείγοντα                        |                                    16 |                                              128.81 |                                3.25 |
|                                   2 | ΩΡΛ                              |                                    13 |                                              164.54 |                                2.64 |
|                                   3 | Χειρουργική                      |                                   112 |                                              267.58 |                               21.88 |
|                                   3 | ΜΕΘ                              |                                    69 |                                              258.06 |                               13.48 |
|                                   3 | Νευρολογία                       |                                    52 |                                              249.69 |                               10.16 |
|                                   3 | Ουρολογία                        |                                    43 |                                              254.16 |                                8.40 |
|                                   3 | Καρδιολογία                      |                                    38 |                                              311.84 |                                7.42 |
|                                   3 | Ορθοπεδική                       |                                    34 |                                              264.94 |                                6.64 |
|                                   3 | Ενδοκρινολογία                   |                                    26 |                                              330.08 |                                5.08 |
|                                   3 | ΩΡΛ                              |                                    22 |                                              205.73 |                                4.30 |
|                                   3 | Γαστρεντερολογία                 |                                    22 |                                              243.05 |                                4.30 |
|                                   3 | Παιδιατρική                      |                                    20 |                                              386.15 |                                3.91 |
|                                   3 | Οφθαλμολογία                     |                                    17 |                                              188.12 |                                3.32 |
|                                   3 | Επείγοντα                        |                                    16 |                                              212.88 |                                3.13 |
|                                   3 | Γυναικολογία                     |                                    16 |                                              404.88 |                                3.13 |
|                                   3 | Ογκολογία                        |                                    13 |                                              369.85 |                                2.54 |
|                                   3 | Πνευμονολογία                    |                                    12 |                                              309.42 |                                2.34 |
|                                   4 | Χειρουργική                      |                                    98 |                                              200.14 |                               19.76 |
|                                   4 | ΜΕΘ                              |                                    72 |                                              226.28 |                               14.52 |
|                                   4 | Νευρολογία                       |                                    57 |                                              263.35 |                               11.49 |
|                                   4 | Ουρολογία                        |                                    37 |                                              296.30 |                                7.46 |
|                                   4 | Ορθοπεδική                       |                                    35 |                                              360.14 |                                7.06 |
|                                   4 | Ενδοκρινολογία                   |                                    34 |                                              330.38 |                                6.85 |
|                                   4 | Γαστρεντερολογία                 |                                    31 |                                              285.16 |                                6.25 |
|                                   4 | Ογκολογία                        |                                    20 |                                               98.20 |                                4.03 |
|                                   4 | Καρδιολογία                      |                                    20 |                                              199.35 |                                4.03 |
|                                   4 | Γυναικολογία                     |                                    18 |                                              196.89 |                                3.63 |
|                                   4 | Πνευμονολογία                    |                                    17 |                                              362.71 |                                3.43 |
|                                   4 | ΩΡΛ                              |                                    16 |                                              304.19 |                                3.23 |
|                                   4 | Παιδιατρική                      |                                    15 |                                              272.60 |                                3.02 |
|                                   4 | Επείγοντα                        |                                    15 |                                              480.93 |                                3.02 |
|                                   4 | Οφθαλμολογία                     |                                    11 |                                              200.55 |                                2.22 |
|                                   5 | Χειρουργική                      |                                    94 |                                              301.04 |                               18.91 |
|                                   5 | ΜΕΘ                              |                                    65 |                                              329.52 |                               13.08 |
|                                   5 | Νευρολογία                       |                                    51 |                                              252.98 |                               10.26 |
|                                   5 | Καρδιολογία                      |                                    37 |                                              354.86 |                                7.44 |
|                                   5 | Ουρολογία                        |                                    35 |                                              227.94 |                                7.04 |
|                                   5 | Γυναικολογία                     |                                    33 |                                              237.58 |                                6.64 |
|                                   5 | Ορθοπεδική                       |                                    30 |                                              299.20 |                                6.04 |
|                                   5 | Γαστρεντερολογία                 |                                    30 |                                              336.87 |                                6.04 |
|                                   5 | Ενδοκρινολογία                   |                                    25 |                                              375.08 |                                5.03 |
|                                   5 | Παιδιατρική                      |                                    21 |                                              276.48 |                                4.23 |
|                                   5 | Επείγοντα                        |                                    20 |                                              393.10 |                                4.02 |
|                                   5 | Οφθαλμολογία                     |                                    18 |                                              327.33 |                                3.62 |
|                                   5 | ΩΡΛ                              |                                    16 |                                              302.50 |                                3.22 |
|                                   5 | Ογκολογία                        |                                    12 |                                              186.92 |                                2.41 |
|                                   5 | Πνευμονολογία                    |                                    10 |                                              491.40 |                                2.01 |
+-------------------------------------+----------------------------------+---------------------------------------+-----------------------------------------------------+-------------------------------------+
75 rows in set (0.147 sec)
